TS EVdW(kcal/mol)
17450000 82002.3445
17500000 82082.9759
17550000 82460.1972
17600000 82224.9813
17650000 81767.7061
17700000 82126.0241
17750000 81691.2584
17800000 80836.8611
17850000 81999.2989
17900000 81953.6680
17950000 82694.8475
18000000 82946.6913
18050000 82385.3120
18100000 81623.6449
18150000 81750.9498
18200000 81216.5892
18250000 81986.0579
18300000 81951.6795
18350000 81799.9413
18400000 82859.7037
18450000 82282.4401
18500000 82060.4797
18550000 82291.9773
18600000 82366.0333
18650000 81806.0643
18700000 81348.8198
18750000 82213.8677
18800000 81319.6186
18850000 82156.8643
18900000 82089.1336
18950000 82412.1131
19000000 81591.7559
19050000 80754.5881
19100000 81881.4651
19150000 82286.9394
19200000 82145.1910
19250000 81892.5987
19300000 81057.9533
19350000 81686.6151
19400000 82410.8954
19450000 82568.8015
19500000 82371.5961
19550000 82991.4808
19600000 81270.0800
19650000 82203.2780
19700000 82931.4528
19750000 82245.6878
19800000 81776.5035
19850000 81921.7693
19900000 81975.8193
19950000 81816.6033
20000000 81972.9193
20050000 83028.9694
20100000 82581.4676
20150000 81855.2213
20200000 81865.2476
20250000 82322.5044
20300000 81967.3312
20350000 82399.0929
20400000 80952.2228
20450000 82390.2808
20500000 82162.1354
20550000 81669.0091
20600000 81204.7248
20650000 81976.1165
20700000 82097.4727
20750000 81784.5611
20800000 82042.8632
20850000 80820.0304
20900000 81705.4011
20950000 81986.9929
21000000 81785.6245
21050000 82329.2979
21100000 81169.2032
21150000 80951.8411
21200000 83106.0971
21250000 82163.4335
21300000 81425.3114
21350000 82674.2011
21400000 82114.8347
21450000 82490.1515
21500000 82138.7368
21550000 82441.5783
21600000 82200.1452
21650000 82395.5683
21700000 81893.7517
21750000 82103.2570
21800000 82365.1630
21850000 82356.8663
21900000 81886.3004
21950000 81978.7184
22000000 82256.4625
22050000 82664.4345
22100000 81952.7353
22150000 81375.1124
22200000 82248.4963
22250000 82330.1500
22300000 82600.2570
22350000 82692.9541
22400000 82004.3555
22450000 81539.6770
22500000 82135.1299
22550000 82534.8502
22600000 81987.9818
22650000 81550.1440
22700000 81946.5504
22750000 81669.6252
22800000 82199.1212
22850000 81899.2033
22900000 82403.2982
22950000 81275.3289
23000000 82319.3308
23050000 82077.0612
23100000 82040.7320
23150000 81484.3140
23200000 82764.2123
23250000 81412.6444
23300000 81498.9240
23350000 81565.6550
23400000 83353.2598
23450000 82415.3592
23500000 82493.5002
23550000 82808.6071
23600000 82032.2943
23650000 81992.7195
23700000 81650.0648
23750000 83112.0857
23800000 82247.5629
23850000 82243.1983
23900000 81802.9898
23950000 81753.2962
24000000 81867.9546
24050000 81561.7789
24100000 81526.3517
24150000 81856.3372
24200000 82618.2856
24250000 82758.6016
24300000 81825.2564
24350000 83068.0342
24400000 81159.5843
24450000 81683.0989
24500000 81479.2776
24550000 81670.1135
24600000 81493.4259
24650000 81930.3749
24700000 81983.0414
24750000 81268.3711
24800000 82940.9774
24850000 82088.5946
24900000 81898.1715
24950000 82632.3655
25000000 81199.9588
25050000 81845.6180
25100000 81548.8666
25150000 82215.2854
25200000 81989.8525
25250000 82447.8147
25300000 82135.9424
25350000 81912.7568
25400000 80712.6849
25450000 82918.1433
25500000 82592.5916
25550000 82253.6650
25600000 80994.1038
25650000 81444.8123
25700000 81446.8448
25750000 81614.6340
25800000 82434.7443
25850000 83109.9103
25900000 81795.1687
25950000 81899.6145
26000000 82030.8199
26050000 82485.8558
26100000 82486.4107
26150000 82212.9605
26200000 82605.1348
26250000 82779.2120
26300000 81990.2108
26350000 82067.9391
26400000 81783.6681
26450000 83066.0905
26500000 81950.9226
26550000 82188.1233
26600000 82375.7632
26650000 82065.0221
26700000 82324.9354
26750000 82323.5871
26800000 82071.1908
26850000 81827.8856
26900000 81620.8784
26950000 82329.2219
27000000 81654.6629
27050000 81621.9524
27100000 82540.4211
27150000 82088.8011
27200000 82595.7693
27250000 83002.9614
27300000 82034.0455
27350000 81403.1459
27400000 81813.8862
27450000 82178.6326
27500000 81342.6468
27550000 82571.0895
27600000 82012.3188
27650000 82076.1307
27700000 81669.3012
27750000 82013.0955
27800000 82043.1609
27850000 81656.3885
27900000 82338.9151
27950000 82434.3969
28000000 82524.2390
28050000 81792.0001
28100000 82402.8739
28150000 82090.2882
28200000 82480.2222
28250000 83220.1776
28300000 82664.7998
28350000 82787.6299
28400000 81503.3278
28450000 82227.4152
28500000 81879.4302
28550000 82178.7170
28600000 82214.9842
28650000 83019.5939
28700000 81850.3170
28750000 81994.2829
28800000 81595.5416
28850000 81370.7642
28900000 82742.8573
28950000 82293.6161
29000000 82454.9247
29050000 82465.6955
29100000 82137.1319
29150000 82238.2571
29200000 82465.3589
29250000 81810.1155
29300000 82221.2065
29350000 81090.3786
29400000 82801.5225
29450000 81870.5661
29500000 82558.1756
29550000 81286.0270
29600000 82454.3788
29650000 82101.4440
29700000 81312.3842
29750000 81555.7751
29800000 82798.3516
29850000 81326.5433
29900000 82934.4275
29950000 82149.7365
30000000 82713.8125
30050000 82302.8553
30100000 82511.2860
30150000 81631.4698
30200000 82293.1752
30250000 81859.3725
30300000 82187.2582
30350000 81120.5379
30400000 81512.5074
30450000 81817.7570
30500000 82075.0777
30550000 82312.1549
30600000 82472.1590
30650000 81658.8188
30700000 81829.1201
30750000 82347.4530
30800000 81505.2734
30850000 81792.8832
30900000 81753.0691
30950000 82413.8966
31000000 82155.7606
31050000 82456.0347
31100000 82413.7440
31150000 82111.5028
31200000 81519.8543
31250000 81802.8699
31300000 80952.3100
31350000 82245.8603
31400000 82052.0774
31450000 82338.5475
31500000 81387.2595
31550000 81290.9158
31600000 82039.3920
31650000 81833.7318
31700000 81728.5991
31750000 80757.4194
31800000 81948.4258
31850000 81206.5839
31900000 81660.0941
31950000 82304.5960
32000000 80931.9613
32050000 81451.9938
32100000 81783.5473
32150000 81433.5993
32200000 81872.4859
32250000 81912.0111
32300000 82564.0518
32350000 81811.4239
32400000 81764.8367
32450000 81679.5800
32500000 81436.7201
32550000 81676.2051
32600000 82668.1379
32650000 82159.6339
32700000 81418.1606
32750000 82001.3480
32800000 82232.3958
32850000 81981.5701
32900000 81179.0720
32950000 81682.1826
33000000 82444.9289
33050000 82025.6459
33100000 81996.7392
33150000 81890.8007
33200000 81610.4509
33250000 82145.5365
33300000 82110.2749
33350000 81591.5704
33400000 81975.2873
33450000 81768.9380
33500000 82177.2050
33550000 82179.6717
33600000 82229.3656
33650000 82712.5777
33700000 81496.3836
33750000 82079.2973
33800000 82088.6344
33850000 81840.6857
33900000 81724.4411
33950000 81998.8816
34000000 80722.6221
34050000 81816.7172
34100000 81862.5593
34150000 82131.3998
34200000 81615.2509
34250000 81548.8890
34300000 81634.9474
34350000 82634.5580
34400000 82195.8729
34450000 82138.4028
34500000 82032.8805
34550000 82297.4146
34600000 83521.8024
34650000 81472.8318
34700000 81394.0544
34750000 82981.1182
34800000 82398.8359
34850000 83298.5186
34900000 82093.6427
34950000 82072.7913
35000000 81957.2254
35050000 81768.5013
35100000 81564.4908
35150000 82516.5270
35200000 82175.8503
35250000 82849.1167
35300000 81287.1303
35350000 82096.1715
35400000 81879.1118
35450000 81830.2923
35500000 83572.4050
35550000 81767.0839
35600000 81615.8143
35650000 82377.0319
35700000 81806.8740
35750000 82440.8761
35800000 81124.3984
35850000 81401.9840
35900000 80637.8478
35950000 82340.9059
36000000 82323.2966
36050000 82744.5056
36100000 82660.1820
36150000 82672.7752
36200000 81540.7807
36250000 82314.1991
36300000 82044.2510
36350000 82492.0808
36400000 81448.2947
36450000 80795.3482
36500000 81516.9779
36550000 82360.9155
36600000 81652.7173
36650000 81883.9054
36700000 82566.8060
36750000 81620.3483
36800000 82121.8529
36850000 82009.8423
36900000 82016.7415
36950000 81426.9186
37000000 81548.9874
37050000 82679.4054
37100000 81223.9025
37150000 80959.2109
37200000 81791.0943
37250000 81343.3483
37300000 81438.9786
37350000 82612.6562
37400000 81680.7217
37450000 81855.8512
37500000 81715.8153
37550000 82345.4649
37600000 82022.3884
37650000 81748.0712
37700000 81478.3788
37750000 81844.6295
37800000 82473.8089
37850000 82096.2659
37900000 81631.2938
37950000 81872.8449
38000000 81707.0832
38050000 81374.4815
38100000 81907.0146
38150000 81988.8551
38200000 81309.8630
38250000 82210.7795
38300000 82569.5867
38350000 81056.0510
38400000 82397.0763
38450000 82325.2622
38500000 81040.4039
38550000 82021.1295
38600000 81689.0714
38650000 81989.7959
38700000 81608.1320
38750000 81370.3404
38800000 81282.6779
38850000 81893.2858
38900000 81573.9048
38950000 81407.6201
39000000 82265.4859
39050000 81917.6620
39100000 82283.4030
39150000 82158.4704
39200000 82980.1396
39250000 81934.2797
39300000 82103.2612
39350000 82562.5478
39400000 82060.3801
39450000 83737.0055
39500000 82546.7924
39550000 81586.3237
39600000 82142.8650
39650000 81804.5328
39700000 82155.9983
39750000 81478.6803
39800000 82322.0045
39850000 81831.4052
39900000 82621.4738
39950000 82161.6966
40000000 82288.9813
40050000 81087.5984
40100000 82867.2370
40150000 81390.3091
40200000 82469.0066
40250000 82026.6374
40300000 81761.2288
40350000 81468.8886
40400000 81896.6841
40450000 82071.5810
40500000 81891.9843
40550000 81783.2028
40600000 82134.1627
40650000 82892.2045
40700000 82296.6408
40750000 82277.6314
40800000 82866.9375
40850000 82794.7894
40900000 81176.6064
40950000 82696.5552
41000000 82327.6538
41050000 81623.3738
41100000 81357.8356
41150000 82421.4453
41200000 81760.7751
41250000 82170.5820
41300000 81999.0935
41350000 81774.1417
41400000 82026.9682
41450000 81718.2530
41500000 81412.5089
41550000 82154.5609
41600000 82484.4749
41650000 81520.3782
41700000 81620.2498
41750000 80906.6537
41800000 82532.5185
41850000 82092.0728
41900000 82098.8383
41950000 82071.9072
42000000 82273.6110
42050000 81861.2387
42100000 82131.4095
42150000 82119.5865
42200000 82019.4884
42250000 82411.9621
42300000 81476.7625
42350000 82471.6365
42400000 82154.6350
42450000 81807.0219
42500000 82750.8101
42550000 81799.3650
42600000 81544.4551
42650000 82408.6543
42700000 81965.0693
42750000 81871.0924
42800000 82653.7527
42850000 82460.0238
42900000 81775.2676
42950000 82178.6571
43000000 82942.9131
43050000 81789.5395
43100000 81364.4046
43150000 82027.3262
43200000 82447.4668
43250000 81689.5697
43300000 82480.3511
43350000 81650.1575
43400000 82445.0674
43450000 82375.3303
43500000 81694.5015
43550000 81959.6335
43600000 81904.3885
43650000 81397.4617
43700000 81587.9480
43750000 81570.1136
43800000 82070.9088
43850000 81634.7379
43900000 82805.9881
43950000 82111.8095
44000000 82511.0825
44050000 82723.5577
44100000 82719.3327
44150000 81541.6153
44200000 81812.3333
44250000 82143.2078
44300000 82202.1011
44350000 82682.0144
44400000 81325.2715
44450000 81989.0377
44500000 81336.1933
44550000 82030.3366
44600000 82119.6601
44650000 82144.5545
44700000 82227.9523
44750000 80569.3435
44800000 81814.6836
44850000 81736.4017
44900000 81444.1027
44950000 82018.4451
45000000 81473.3817
45050000 80861.9321
45100000 81998.4965
45150000 81849.9585
45200000 82985.2519
45250000 82085.9892
45300000 81490.0500
45350000 81789.9749
45400000 81656.6406
45450000 80985.9903
45500000 81484.9366
45550000 81584.1011
45600000 81967.8408
45650000 81809.1796
45700000 81637.6182
45750000 82500.1953
45800000 81403.9426
45850000 82574.8712
45900000 81977.0238
45950000 81562.6603
46000000 82585.7928
46050000 82644.7341
46100000 81864.3719
46150000 83097.1084
46200000 81617.0324
46250000 82374.4901
46300000 81498.5866
46350000 81995.0872
46400000 82354.8430
46450000 81975.7128
46500000 81854.4363
46550000 81761.7359
46600000 81866.2413
46650000 82419.2319
46700000 81828.5744
46750000 81520.7420
46800000 81693.9349
46850000 82316.1455
46900000 82485.5746
46950000 81429.5254
47000000 82004.7728
47050000 82172.6052
47100000 81710.4162
47150000 81373.3678
47200000 81561.6920
47250000 80632.4912
47300000 82401.1383
47350000 82007.1285
47400000 83006.7449
47450000 82150.0988
47500000 81734.4427
47550000 82563.1762
47600000 81702.0879
47650000 83156.9074
47700000 82487.5097
47750000 82510.2467
47800000 82299.4839
47850000 82276.3752
47900000 82170.1311
47950000 82137.7268
48000000 82601.2984
48050000 82529.9603
48100000 81503.7425
48150000 80859.7517
48200000 81997.0998
48250000 82146.3108
48300000 81564.5969
48350000 81697.4492
48400000 81914.4973
48450000 80855.7304
48500000 81482.6348
48550000 81593.3515
48600000 82522.1588
48650000 82384.9500
48700000 80947.9914
48750000 81741.1408
48800000 81510.1680
48850000 82268.0575
48900000 81075.7621
48950000 82050.2154
49000000 82635.0485
49050000 81834.3412
49100000 82575.3490
49150000 81895.0205
49200000 81261.0971
49250000 81361.6696
49300000 82382.8135
49350000 81699.2060
49400000 81786.6094
49450000 82525.2782
49500000 81715.4834
49550000 81562.3711
49600000 81854.8096
49650000 80696.3159
49700000 81300.2818
49750000 81638.5208
49800000 81546.7188
49850000 82255.2145
49900000 82257.5667
49950000 81576.8676
50000000 82685.5142
