Frame	2_bonds	no_bonds	303_350
284	2.052392	5.180234	2.033941
285	2.056090	5.109828	2.072094
286	2.125416	4.735674	1.985361
287	2.058133	4.730960	1.882774
288	1.941465	5.393709	2.050816
289	2.020677	3.855066	2.046990
290	2.072156	3.846382	2.099015
291	1.967782	4.012772	1.980948
292	1.971711	4.691148	2.008711
293	2.039635	5.352240	2.037988
294	2.095801	4.278649	1.955789
295	2.008235	4.987768	1.989826
296	2.025340	3.834273	1.992053
297	2.040805	4.429708	2.019510
298	1.915424	4.419752	1.982899
299	2.020592	3.491239	1.950454
300	2.044603	3.348094	2.047006
301	2.054384	5.791420	2.019830
302	2.016178	3.650540	1.914665
303	2.023628	3.886520	2.094840
304	2.045033	5.329364	1.978664
305	2.023998	4.418758	2.079227
306	2.017799	4.184070	2.020812
307	2.012941	4.040429	2.029495
308	2.046297	4.229497	2.033234
309	1.974386	4.930098	2.105210
310	2.054779	5.220857	1.985873
311	2.066163	5.601559	2.077464
312	2.021580	4.556107	1.988321
313	2.010211	3.812980	2.058300
314	2.035788	4.122732	2.068370
315	2.043674	4.849502	2.078826
316	2.103197	4.725169	2.053742
317	2.056949	5.778865	1.985574
318	2.016518	5.138944	2.037085
319	1.987893	4.736785	2.033235
320	2.111767	4.558614	2.021599
321	2.015761	3.737606	2.033888
322	2.052455	4.416180	1.984771
323	2.072038	3.614252	2.102119
324	2.011835	3.717648	2.005629
325	2.103370	3.702849	2.028585
326	2.056289	4.365278	1.994972
327	1.951331	5.152874	2.054693
328	2.061532	3.769897	2.020704
329	2.101761	4.053997	2.043234
330	2.043547	3.825253	2.054566
331	2.047835	3.423268	2.025069
332	2.048079	3.612218	2.061628
333	2.062351	3.942357	2.072271
334	2.016880	3.714418	2.092451
335	2.069937	4.027117	1.971208
336	2.006236	3.864865	2.069435
337	2.094901	4.096535	2.060236
338	2.017929	3.735728	1.982102
339	2.055490	3.587468	1.972491
340	1.997359	3.664400	2.039923
341	1.964771	4.404501	1.981460
342	2.026493	3.863127	2.032171
343	2.063560	3.686661	2.079178
344	1.981681	3.716072	1.990183
345	1.985750	3.742157	2.065221
346	2.032987	3.615500	2.066081
347	2.054155	4.021308	2.019054
348	1.985082	4.619763	2.015085
349	1.993163	3.869017	2.062247
350	2.005946	3.592836	2.019700
351	1.988688	4.103303	2.030809
352	2.032432	3.694818	2.011719
353	2.007682	3.756853	1.959153
354	2.048485	5.222378	2.053254
355	2.025001	4.674540	2.082283
356	2.071257	4.698786	2.001588
357	2.002051	4.960003	2.073045
358	2.037796	6.738956	1.993528
359	2.086991	7.205140	2.026947
360	2.048691	6.328192	1.965385
361	2.069616	6.962087	2.011966
362	2.016034	7.167334	2.079907
363	2.072742	4.015461	1.999215
364	2.055906	4.748995	2.032439
365	2.037220	4.539522	1.962991
366	2.040218	4.717371	2.051804
367	2.053426	4.640597	2.101007
368	2.047812	4.538352	1.983465
369	1.951926	4.382089	2.113941
370	2.058204	4.367289	2.001151
371	2.031390	3.883015	2.027006
372	2.081087	3.480706	1.992856
373	2.036074	3.868314	2.078695
374	1.999500	4.134353	2.075899
375	2.084125	3.618376	1.969438
376	2.036986	3.885043	2.025409
377	2.084887	3.816836	2.036516
378	2.096182	4.648152	2.021551
379	2.044657	3.899865	1.979768
380	2.078190	3.855123	2.076131
381	2.053505	3.854428	2.041280
382	1.987854	3.636697	2.073921
383	2.115718	3.813916	2.041996
384	2.039811	3.762846	1.987827
385	2.055282	3.696167	2.038115
386	1.970431	5.114876	1.941259
387	2.017628	3.674508	2.074353
388	1.996596	5.059240	2.047319
389	1.997522	4.227124	2.055203
390	2.116414	4.019709	2.076766
391	1.983992	4.955928	1.981507
392	2.029028	5.689240	2.043787
393	2.026772	5.784731	2.068290
394	2.090918	5.706479	1.944089
395	2.050808	5.019144	2.067005
396	1.938844	3.986845	2.044241
397	1.966228	4.554336	2.059746
398	2.081229	4.926708	2.060964
399	2.099555	5.286655	2.079611
400	2.082136	5.070914	2.084428
401	2.037293	4.213961	1.997346
402	1.985206	5.380404	2.034980
403	1.982106	4.999047	1.967537
404	2.006034	5.187145	2.008879
405	2.090294	4.222912	1.978394
406	2.023072	5.074248	2.005973
407	2.013052	4.754558	2.091793
408	2.060920	4.776911	2.072403
409	2.056924	4.970162	2.059273
410	2.093581	4.543367	1.975588
411	2.029335	4.908123	2.101683
412	2.069497	4.735018	1.997374
413	2.048822	4.482797	2.081165
414	2.015296	5.154215	2.019838
415	2.070416	5.024468	2.035771
416	1.955588	5.536858	1.995270
417	2.049745	3.968307	1.994357
418	1.965160	4.593761	2.025284
419	2.038471	4.543462	2.062064
420	2.036474	3.882912	2.078913
421	2.056335	4.971696	2.009792
422	2.083942	3.746068	2.020775
423	2.008244	3.625728	1.955683
424	2.061970	4.698716	2.018507
425	2.037642	3.926182	2.053318
426	2.049785	3.352525	1.949679
427	2.065676	4.039117	2.018973
428	2.066776	3.828791	2.037705
429	1.992340	3.545387	2.022310
430	2.036837	3.551139	1.926284
431	2.065608	4.095223	2.027373
432	2.056817	3.418320	2.108681
433	2.058136	4.215593	2.049342
434	2.084386	4.556923	2.046195
435	1.933303	3.768948	1.963258
436	2.048173	4.133257	1.982998
437	2.026818	3.659738	2.044819
438	2.063274	3.943627	1.985001
439	1.991602	3.826542	2.023442
440	1.978833	4.271171	2.080093
441	1.995068	5.423321	1.996646
442	2.091837	5.313210	1.957855
443	2.050766	5.091347	2.089844
444	2.010292	4.044502	2.001923
445	1.929810	3.738371	2.014922
446	1.997469	3.813967	2.006450
447	1.976709	3.763212	2.011118
448	2.036819	4.555947	2.048903
449	1.956050	3.676079	2.047582
450	2.049443	5.546351	1.925024
451	2.007146	4.617174	2.091795
452	1.980006	3.826042	2.045768
453	2.046346	4.287827	2.048258
454	2.056187	3.836749	2.022853
455	2.070980	5.431920	2.015579
456	1.999894	4.141844	2.092166
457	2.067130	4.718563	2.073280
458	2.028017	4.942876	2.033523
459	2.065992	5.336914	1.950605
460	2.043080	4.052306	2.028420
461	2.013075	4.310874	2.039688
462	2.008450	4.285292	2.019143
463	2.152724	4.362738	2.062340
