TS Eel(kcal/mol)
39650000 -1344246.8388
39700000 -1344363.9375
39750000 -1343723.7304
39800000 -1344254.1801
39850000 -1346918.7707
39900000 -1345076.9475
39950000 -1345792.0457
40000000 -1344838.9596
40050000 -1344721.6800
40100000 -1345534.6392
40150000 -1345541.2730
40200000 -1345476.3487
40250000 -1345513.4991
40300000 -1344489.3565
40350000 -1343135.1409
40400000 -1344784.4318
40450000 -1345197.1175
40500000 -1344704.6558
40550000 -1344543.1112
40600000 -1346002.1113
40650000 -1345381.1004
40700000 -1344273.2311
40750000 -1344541.4987
40800000 -1345273.1382
40850000 -1345077.0714
40900000 -1343651.7902
40950000 -1344953.8230
41000000 -1344919.3578
41050000 -1345585.7157
41100000 -1344506.6884
41150000 -1344784.9213
41200000 -1344684.4593
41250000 -1344619.5742
41300000 -1344359.6973
41350000 -1345250.8724
41400000 -1344217.8510
41450000 -1344542.8643
41500000 -1344271.3243
41550000 -1345643.5115
41600000 -1344298.0890
41650000 -1344316.6331
41700000 -1346588.4384
41750000 -1345638.8105
41800000 -1344251.7689
41850000 -1343451.7016
41900000 -1343658.7062
41950000 -1343653.3578
42000000 -1344620.4134
42050000 -1344544.5636
42100000 -1344098.2243
42150000 -1344221.0287
42200000 -1344690.4141
42250000 -1344548.2974
42300000 -1344535.3060
42350000 -1343637.1898
42400000 -1344567.0984
42450000 -1345540.9314
42500000 -1343211.6639
42550000 -1344250.6232
42600000 -1343805.3013
42650000 -1344600.5800
42700000 -1343940.4926
42750000 -1345104.6855
42800000 -1344989.4000
42850000 -1344171.5458
42900000 -1345309.3792
42950000 -1345499.0215
43000000 -1343443.8095
43050000 -1344628.9584
43100000 -1345276.1642
43150000 -1344521.5115
43200000 -1343190.3810
43250000 -1345894.9862
43300000 -1343781.4627
43350000 -1346287.7705
43400000 -1343976.2901
43450000 -1343094.2388
43500000 -1343965.9935
43550000 -1344032.5047
43600000 -1345505.9086
43650000 -1344082.4105
43700000 -1344450.0690
43750000 -1344862.5305
43800000 -1345252.6787
43850000 -1344878.0995
43900000 -1343956.6201
43950000 -1343815.9589
44000000 -1346056.5427
44050000 -1344612.4606
44100000 -1345235.7511
44150000 -1343834.5109
44200000 -1343792.4535
44250000 -1343726.7273
44300000 -1345753.0364
44350000 -1344388.0546
44400000 -1345023.7229
44450000 -1344613.8519
44500000 -1343330.3418
44550000 -1344834.2027
44600000 -1344897.9226
44650000 -1343788.3366
44700000 -1345038.3511
44750000 -1343470.3005
44800000 -1345141.5215
44850000 -1345010.6433
44900000 -1342200.2009
44950000 -1344950.4267
45000000 -1344200.9742
45050000 -1344111.3568
45100000 -1343199.7919
45150000 -1343919.2029
45200000 -1343488.1131
45250000 -1345062.5904
45300000 -1343232.5716
45350000 -1346139.1859
45400000 -1345246.0194
45450000 -1343945.3884
45500000 -1344341.9735
45550000 -1345790.5510
45600000 -1346184.8083
45650000 -1343763.2353
45700000 -1345199.2595
45750000 -1345054.4912
45800000 -1346188.1637
45850000 -1344079.3555
45900000 -1344643.4538
45950000 -1343759.5597
46000000 -1344874.1015
46050000 -1344271.8485
46100000 -1343579.1565
46150000 -1345410.2040
46200000 -1344578.3225
46250000 -1344137.6187
46300000 -1344134.5693
46350000 -1343516.3469
46400000 -1344612.7814
46450000 -1344071.2321
46500000 -1345563.0583
46550000 -1344006.2084
46600000 -1344003.3438
46650000 -1343841.4740
46700000 -1344573.5501
46750000 -1345258.5298
46800000 -1344486.5125
46850000 -1343268.6147
46900000 -1343878.6565
46950000 -1343898.3928
47000000 -1344699.9936
47050000 -1344818.3335
47100000 -1343053.2733
47150000 -1343553.2272
47200000 -1344697.8735
47250000 -1345159.3229
47300000 -1344493.4851
47350000 -1344622.5553
47400000 -1346128.0775
47450000 -1345145.5529
47500000 -1345273.2813
47550000 -1343851.2974
47600000 -1344290.6638
47650000 -1344472.5369
47700000 -1345112.9521
47750000 -1345702.5503
47800000 -1344860.7507
47850000 -1343867.3761
47900000 -1344298.7735
47950000 -1346262.7849
48000000 -1343258.0689
48050000 -1344361.7189
48100000 -1344934.5968
48150000 -1344786.2056
48200000 -1343287.4049
48250000 -1344372.7475
48300000 -1344613.3471
48350000 -1345632.9856
48400000 -1344502.2910
48450000 -1345590.6504
48500000 -1343935.0092
48550000 -1345155.0429
48600000 -1343130.7775
48650000 -1345928.5254
48700000 -1343904.7606
48750000 -1345256.4994
48800000 -1344384.2843
48850000 -1342684.7707
48900000 -1344658.1948
48950000 -1344110.2278
49000000 -1344723.1714
49050000 -1345396.7017
49100000 -1344403.3288
49150000 -1345724.2008
49200000 -1346105.7949
49250000 -1343586.4523
49300000 -1343730.1331
49350000 -1346537.7259
49400000 -1342341.7590
49450000 -1344155.1662
49500000 -1345612.2160
49550000 -1345450.5364
49600000 -1342683.0817
49650000 -1345672.0845
49700000 -1345452.5503
49750000 -1343729.2512
49800000 -1344621.2989
49850000 -1344493.6203
49900000 -1343232.5539
49950000 -1346204.9370
50000000 -1344319.0853
