TS Eel(kcal/mol)
24800000 -1237889.3431
24850000 -1237657.9288
24900000 -1237554.9392
24950000 -1238346.0399
25000000 -1236886.8322
25050000 -1235865.3345
25100000 -1237139.5520
25150000 -1237246.4867
25200000 -1237610.7304
25250000 -1237968.1773
25300000 -1234954.7078
25350000 -1235804.8488
25400000 -1236939.0519
25450000 -1236837.0283
25500000 -1237072.8485
25550000 -1235360.5821
25600000 -1236669.4686
25650000 -1236179.1845
25700000 -1236733.7163
25750000 -1238331.0539
25800000 -1236236.4986
25850000 -1236639.6231
25900000 -1236409.5378
25950000 -1237176.1519
26000000 -1236200.0285
26050000 -1236107.7117
26100000 -1237028.8285
26150000 -1236767.6525
26200000 -1236870.5331
26250000 -1236428.6027
26300000 -1236581.6584
26350000 -1236778.4240
26400000 -1235814.5686
26450000 -1237238.1448
26500000 -1236338.8561
26550000 -1236810.8802
26600000 -1236520.4733
26650000 -1237174.7017
26700000 -1237443.9387
26750000 -1236150.1644
26800000 -1237036.7692
26850000 -1235868.9744
26900000 -1238334.8815
26950000 -1236248.6650
27000000 -1237725.3220
27050000 -1236137.8619
27100000 -1237833.5245
27150000 -1236897.3814
27200000 -1236405.9533
27250000 -1237077.1548
27300000 -1237121.6600
27350000 -1236120.3879
27400000 -1235116.5525
27450000 -1238363.1569
27500000 -1236332.6990
27550000 -1236650.2904
27600000 -1235983.0472
27650000 -1237027.1843
27700000 -1236807.3009
27750000 -1236187.1921
27800000 -1236532.1669
27850000 -1235542.2681
27900000 -1236812.9351
27950000 -1237375.6684
28000000 -1238446.4265
28050000 -1235779.9203
28100000 -1238389.9020
28150000 -1237717.5283
28200000 -1235295.8585
28250000 -1236252.4644
28300000 -1237654.9681
28350000 -1236491.1887
28400000 -1236887.0032
28450000 -1236181.4042
28500000 -1236988.8972
28550000 -1236173.0588
28600000 -1237586.6324
28650000 -1236686.2362
28700000 -1237406.9345
28750000 -1235816.0627
28800000 -1236832.6211
28850000 -1236200.9415
28900000 -1236003.7783
28950000 -1238677.5254
29000000 -1236300.1902
29050000 -1235939.6622
29100000 -1238245.8228
29150000 -1235817.8759
29200000 -1235723.9392
29250000 -1236851.0026
29300000 -1236057.6655
29350000 -1237774.7432
29400000 -1235753.8596
29450000 -1235375.0618
29500000 -1236286.1327
29550000 -1237817.9813
29600000 -1236805.8242
29650000 -1238013.3960
29700000 -1237065.0506
29750000 -1236758.9997
29800000 -1236144.5563
29850000 -1237351.4208
29900000 -1237693.2907
29950000 -1236148.1319
30000000 -1236187.9167
30050000 -1236466.3465
30100000 -1236683.4000
30150000 -1236426.1655
30200000 -1237587.7007
30250000 -1237369.5659
30300000 -1237827.5017
30350000 -1235604.2479
30400000 -1237281.5241
30450000 -1235677.0527
30500000 -1236894.5981
30550000 -1237102.4792
30600000 -1236818.4451
30650000 -1237518.8251
30700000 -1237623.2494
30750000 -1236637.8242
30800000 -1237246.2938
30850000 -1235720.1757
30900000 -1237521.2903
30950000 -1236453.2489
31000000 -1235840.1028
31050000 -1236590.0801
31100000 -1237478.9063
31150000 -1235590.8895
31200000 -1235974.9865
31250000 -1236916.3319
31300000 -1237642.2720
31350000 -1237006.6109
31400000 -1235117.7982
31450000 -1238754.0102
31500000 -1235690.0422
31550000 -1237201.5314
31600000 -1237237.3375
31650000 -1236778.7654
31700000 -1236860.3744
31750000 -1236187.5536
31800000 -1236332.3965
31850000 -1236332.9836
31900000 -1237343.3055
31950000 -1235798.6758
32000000 -1235691.9535
32050000 -1235781.0213
32100000 -1236391.9695
32150000 -1236420.2156
32200000 -1236906.0680
32250000 -1237491.4964
32300000 -1236528.1416
32350000 -1237141.1018
32400000 -1237672.6897
32450000 -1236925.7476
32500000 -1236677.0509
32550000 -1237070.1140
32600000 -1235008.5585
32650000 -1237367.1379
32700000 -1237283.5653
32750000 -1235948.4790
32800000 -1236752.7656
32850000 -1235353.8496
32900000 -1236841.3759
32950000 -1234489.5915
33000000 -1236121.7974
33050000 -1237302.4282
33100000 -1235228.4087
33150000 -1238010.7123
33200000 -1237026.6398
33250000 -1236388.7366
33300000 -1236629.5053
33350000 -1236603.9611
33400000 -1235457.3515
33450000 -1236074.8066
33500000 -1237502.9890
33550000 -1237883.4088
33600000 -1236988.0720
33650000 -1236930.5771
33700000 -1236024.8611
33750000 -1235799.1216
33800000 -1236793.7619
33850000 -1237745.3572
33900000 -1236179.9844
33950000 -1237418.7272
34000000 -1236731.1177
34050000 -1237650.1473
34100000 -1236204.0177
34150000 -1236757.5149
34200000 -1235883.8375
34250000 -1235898.6639
34300000 -1238151.4433
34350000 -1237753.4597
34400000 -1237473.8911
34450000 -1236409.9099
34500000 -1236898.1528
34550000 -1236075.0995
34600000 -1238232.9369
34650000 -1236614.0359
34700000 -1236240.6805
34750000 -1236929.9911
34800000 -1237374.0606
34850000 -1236754.2567
34900000 -1237507.5888
34950000 -1237432.4540
35000000 -1237125.5939
35050000 -1236212.6825
35100000 -1235893.0131
35150000 -1237127.9730
35200000 -1238039.6054
35250000 -1236923.0612
35300000 -1236279.1396
35350000 -1236752.2433
35400000 -1236347.4507
35450000 -1237929.5298
35500000 -1236769.1131
35550000 -1238111.7192
35600000 -1238344.7814
35650000 -1236536.0987
35700000 -1237874.4982
35750000 -1236243.8556
35800000 -1235520.9512
35850000 -1236399.9916
35900000 -1236827.3098
35950000 -1236543.0007
36000000 -1236124.2264
36050000 -1236073.1515
36100000 -1237468.8930
36150000 -1237682.8462
36200000 -1236326.9707
36250000 -1237805.3923
36300000 -1236209.1050
36350000 -1237112.6765
36400000 -1237672.4615
36450000 -1236571.3646
36500000 -1236746.1844
36550000 -1237224.3303
36600000 -1238853.6249
36650000 -1237228.0536
36700000 -1237382.0053
36750000 -1238340.8510
36800000 -1235830.6219
36850000 -1236791.9019
36900000 -1238813.5260
36950000 -1236244.5478
37000000 -1237676.4305
37050000 -1237181.5861
37100000 -1236579.2884
37150000 -1236070.4577
37200000 -1236226.3264
37250000 -1236921.6770
37300000 -1237645.8285
37350000 -1237314.8398
37400000 -1236928.2469
37450000 -1236050.3435
37500000 -1236308.6889
37550000 -1237992.1854
37600000 -1237768.6764
37650000 -1237642.0382
37700000 -1235552.6937
37750000 -1236607.8133
37800000 -1235120.9375
37850000 -1236817.7405
37900000 -1235972.5579
37950000 -1236939.7578
38000000 -1237209.8817
38050000 -1236936.5020
38100000 -1236778.1064
38150000 -1237521.7273
38200000 -1236661.9236
38250000 -1236184.7161
38300000 -1237204.0783
38350000 -1236906.7073
38400000 -1237607.0879
38450000 -1236994.1985
38500000 -1238019.0758
38550000 -1236047.1717
38600000 -1237279.1927
38650000 -1236984.7690
38700000 -1237352.3163
38750000 -1237122.7821
38800000 -1236731.2002
38850000 -1236578.6678
38900000 -1236664.6882
38950000 -1236952.4026
39000000 -1237742.5058
39050000 -1237007.5533
39100000 -1237038.2959
39150000 -1235220.3954
39200000 -1235977.3812
39250000 -1236981.9024
39300000 -1236717.7171
39350000 -1235325.6985
39400000 -1237507.6901
39450000 -1235833.5308
39500000 -1236992.4747
39550000 -1236465.3590
39600000 -1235609.4445
39650000 -1236501.8214
39700000 -1235649.2498
39750000 -1238805.1055
39800000 -1237351.4844
39850000 -1237419.0075
39900000 -1236954.1594
39950000 -1235936.8642
40000000 -1237598.4694
40050000 -1236505.3771
40100000 -1237346.7538
40150000 -1237472.6233
40200000 -1237779.6133
40250000 -1237180.2596
40300000 -1235271.7436
40350000 -1236024.5544
40400000 -1238325.1997
40450000 -1236980.2155
40500000 -1237531.2705
40550000 -1236788.1251
40600000 -1236880.3929
40650000 -1234749.7270
40700000 -1236977.9287
40750000 -1236259.1431
40800000 -1236206.1631
40850000 -1237491.2156
40900000 -1236880.6825
40950000 -1236859.4580
41000000 -1235850.5043
41050000 -1235305.8413
41100000 -1236209.9141
41150000 -1237557.1827
41200000 -1236475.9215
41250000 -1236021.5195
41300000 -1237306.0281
41350000 -1236346.6627
41400000 -1237633.2765
41450000 -1236295.8004
41500000 -1237225.1487
41550000 -1236575.2742
41600000 -1236354.6122
41650000 -1237735.4545
41700000 -1236901.8305
41750000 -1237251.7019
41800000 -1237389.4316
41850000 -1236616.5078
41900000 -1236193.6321
41950000 -1236908.9155
42000000 -1236552.3038
42050000 -1235698.4309
42100000 -1236589.4598
42150000 -1237074.0699
42200000 -1237141.2960
42250000 -1237012.5777
42300000 -1236429.6652
42350000 -1237750.7759
42400000 -1236187.1051
42450000 -1237707.5206
42500000 -1236416.1629
42550000 -1236048.9116
42600000 -1237979.5946
42650000 -1236938.1950
42700000 -1237751.9031
42750000 -1237197.6013
42800000 -1237018.5981
42850000 -1235985.4154
42900000 -1237172.9912
42950000 -1235086.0943
43000000 -1235978.5770
43050000 -1236879.4344
43100000 -1236931.5864
43150000 -1237216.8438
43200000 -1236953.3454
43250000 -1237015.3835
43300000 -1236308.8601
43350000 -1236591.0046
