TS Eel(kcal/mol)
9800000 -1347361.4307
9850000 -1346331.0431
9900000 -1346673.1719
9950000 -1346704.9791
10000000 -1346680.1443
10050000 -1348581.2987
10100000 -1347353.3646
10150000 -1346921.3899
10200000 -1347935.9135
10250000 -1347451.4787
10300000 -1346805.4937
10350000 -1345714.1854
10400000 -1347292.7833
10450000 -1347274.4896
10500000 -1347412.5535
10550000 -1349329.9640
10600000 -1347927.4667
10650000 -1346396.4853
10700000 -1347896.2293
10750000 -1347047.7866
10800000 -1347574.1420
10850000 -1346763.6253
10900000 -1348521.4439
10950000 -1347194.6564
11000000 -1347790.0369
11050000 -1347087.5516
11100000 -1347306.0718
11150000 -1346716.3801
11200000 -1347379.1077
11250000 -1347071.1060
11300000 -1347688.8804
11350000 -1347091.5702
11400000 -1346325.8761
11450000 -1346426.8092
11500000 -1347395.7096
11550000 -1346354.9347
11600000 -1347740.6857
11650000 -1347364.9163
11700000 -1348200.9308
11750000 -1347159.7126
11800000 -1347229.5849
11850000 -1346648.0835
11900000 -1348114.7843
11950000 -1346600.6030
12000000 -1347974.7714
12050000 -1346619.0345
12100000 -1347751.3682
12150000 -1346454.5547
12200000 -1346712.3823
12250000 -1348738.7745
12300000 -1347700.8958
12350000 -1347766.3565
12400000 -1347144.6452
12450000 -1347395.0891
12500000 -1346768.0148
12550000 -1347587.1236
12600000 -1346963.9962
12650000 -1346863.8474
12700000 -1348915.4957
12750000 -1346478.9172
12800000 -1348530.4894
12850000 -1346506.7050
12900000 -1347459.9008
12950000 -1347204.4795
13000000 -1347633.9492
13050000 -1347387.2632
13100000 -1347588.7296
13150000 -1347301.5938
13200000 -1346793.9034
13250000 -1348001.1171
13300000 -1348724.6470
13350000 -1348056.9879
13400000 -1346721.3696
13450000 -1347193.7743
13500000 -1347148.1703
13550000 -1346040.3056
13600000 -1347869.3270
13650000 -1346760.7203
13700000 -1348613.4779
13750000 -1348591.1085
13800000 -1347580.4230
13850000 -1348120.0843
13900000 -1347919.4752
13950000 -1347053.9082
14000000 -1346172.0726
14050000 -1346419.0041
14100000 -1348336.9496
14150000 -1347966.3336
14200000 -1347163.1350
14250000 -1348647.4283
14300000 -1347736.9676
14350000 -1348699.4329
14400000 -1347605.2634
14450000 -1347437.6279
14500000 -1347658.0320
14550000 -1346236.1057
14600000 -1346241.1555
14650000 -1348173.5395
14700000 -1347159.8201
14750000 -1348209.5121
14800000 -1346447.2038
14850000 -1347316.9655
14900000 -1346283.9066
14950000 -1347927.3886
15000000 -1347005.5831
15050000 -1346010.1477
15100000 -1346745.7892
15150000 -1347442.9067
15200000 -1348558.0230
15250000 -1347476.8285
15300000 -1346393.2647
15350000 -1350078.9380
15400000 -1346733.1094
15450000 -1345991.2790
15500000 -1346334.5100
15550000 -1349416.7778
15600000 -1348030.2431
15650000 -1346733.8569
15700000 -1347025.5302
15750000 -1346086.5961
15800000 -1347053.9333
15850000 -1347451.4568
15900000 -1346586.2977
