TS	2_bonds	no_bonds	303_350
8700000	82235.5100	71981.2714	81712.4260
8750000	82253.8629	71130.0790	81982.0645
8800000	81395.4159	72028.1558	82974.0785
8850000	82908.9377	71874.0532	81228.1001
8900000	81734.9159	72171.7364	81969.6269
8950000	82201.4140	71319.3970	82652.6701
9000000	82401.1978	71839.7795	82401.1251
9050000	82496.9120	73041.3472	82500.8046
9100000	82339.2100	71446.5391	82407.8124
9150000	81780.2703	72351.5876	82260.0858
9200000	82020.2833	71867.3480	82440.8003
9250000	82091.2336	71076.9127	79869.1576
9300000	82341.2629	71713.1724	81480.6197
9350000	82022.4678	73047.4067	82001.0634
9400000	82072.2032	72515.9624	81315.2272
9450000	82070.5973	71915.6483	82115.0758
9500000	81979.0468	70678.5954	81935.3444
9550000	81828.1507	72044.3555	82563.5246
9600000	81829.9939	71002.1698	82700.4288
9650000	82797.3305	72436.5849	81599.4110
9700000	82582.7046	72748.2785	81854.3487
9750000	82603.9946	71233.2163	81580.9023
9800000	82150.8494	71354.6514	82257.9250
9850000	81861.4022	71859.0015	82090.4944
9900000	81900.4944	71454.6571	81639.3285
9950000	81891.8970	72432.3775	81431.7315
10000000	81200.9904	70775.4043	82339.6624
10050000	82291.1287	71963.5808	80721.2311
10100000	82394.3229	71953.1324	82046.7704
10150000	81827.3355	71379.0815	81874.7577
10200000	82618.8931	71741.0334	82063.2760
10250000	81987.8923	72289.3689	81359.4617
10300000	81675.4915	71442.3387	81028.9462
10350000	81600.5377	71306.7310	81760.1455
10400000	81655.6467	71653.7582	81247.1398
10450000	81964.9048	71866.6936	80703.8127
10500000	82055.6642	71527.3665	82169.6907
10550000	82916.8347	72210.9151	82852.9980
10600000	82682.7324	72481.2593	81982.0155
10650000	81689.4036	72031.8861	81689.9970
10700000	82254.6804	70555.5096	82205.1117
10750000	81905.5455	71875.4563	82339.6799
10800000	82437.6546	71471.3992	82432.9865
10850000	81860.0030	72109.8823	82733.8245
10900000	82524.8702	72784.3318	82078.5247
10950000	82770.0126	72056.4655	81956.3745
11000000	82835.2577	70820.5834	82524.6459
11050000	82188.3965	72453.8337	82239.2414
11100000	81719.2005	71444.2730	80819.9306
11150000	82061.8774	72696.1269	80857.6161
11200000	82699.8616	71215.8261	81542.5015
11250000	82128.7525	72277.8466	81175.9062
11300000	82296.6377	71722.6227	81694.7831
11350000	82207.7503	71963.9184	82189.2418
11400000	81579.8679	71508.1956	81929.9555
11450000	81657.8904	71527.2070	82249.0156
11500000	82149.2215	71344.9278	81455.6076
11550000	81974.7010	71853.1924	81524.0090
11600000	82237.1495	72011.7568	81941.9363
11650000	82461.7958	70956.6310	81133.8606
11700000	83003.2315	71971.8149	81990.5016
11750000	82456.9183	71983.1977	82261.6847
11800000	82135.5997	71922.3417	81826.1941
11850000	81949.5256	72186.4219	81949.3006
11900000	82862.0430	72074.5383	82165.8940
11950000	82078.7712	72161.6416	81250.0667
12000000	82316.5020	71883.2205	81884.4057
12050000	81512.0506	71442.4852	82211.0606
12100000	81422.7766	71343.1534	81782.3386
12150000	81836.8818	71676.7988	81669.0732
12200000	81621.5354	72486.9295	81129.7528
12250000	82516.8469	72157.6914	82097.6229
12300000	82555.0670	71749.8840	81327.2694
12350000	82157.2194	72014.5695	80094.9699
12400000	82098.4919	71331.7491	82301.6201
12450000	82190.6740	72084.7438	81410.9127
12500000	81427.0298	72015.6320	81474.8989
12550000	82471.0710	71576.0637	82231.5031
12600000	82757.0877	71032.4009	80847.4859
12650000	81962.8039	72549.9397	81901.7653
12700000	82850.2677	72140.5195	80969.4668
12750000	81462.1889	71905.2659	81456.6673
12800000	82834.3407	72246.8347	82659.6260
12850000	81058.6413	71496.3449	82219.8818
12900000	82139.9436	72650.8723	81238.2526
12950000	82482.9218	71679.0897	81318.5622
13000000	82537.3013	71947.9670	82058.3761
13050000	82035.4085	71064.7517	81793.7318
13100000	81480.7936	71378.7494	82502.8836
13150000	81972.3887	71915.1281	81525.3294
13200000	81748.5322	71369.4774	80712.1054
13250000	82305.0609	72137.0604	82960.4875
13300000	82412.7467	71716.6939	82325.2826
13350000	82222.8506	72150.6297	81681.7650
13400000	82122.0828	71786.2413	81669.4286
13450000	82230.4383	72132.4784	82811.1448
13500000	81926.9091	72046.7930	82246.4827
13550000	81136.2924	71312.5912	82054.5728
13600000	82762.7814	72856.4487	81354.5756
13650000	82116.8484	71952.4401	82263.2304
13700000	83228.6081	71732.4873	82497.5397
13750000	82490.2448	72474.0060	81255.1080
13800000	82311.6317	72592.6574	80815.6627
13850000	81631.4846	71379.1409	81944.5175
13900000	82416.2811	72045.0925	81893.6568
13950000	81942.2220	71577.4852	80978.8854
14000000	81302.1652	71247.1005	81070.2682
14050000	81400.1354	72525.3995	81751.2911
14100000	82124.4798	72363.2476	82177.5327
14150000	82436.1792	72494.7081	82939.0896
14200000	82034.8627	72382.5897	82755.8905
14250000	82156.3040	70985.3545	82214.8396
14300000	82167.4104	72350.4786	82023.7026
14350000	82819.0480	71702.4060	81683.7429
14400000	82012.3812	71854.4079	81592.9862
14450000	81875.3834	70801.7850	82155.7913
14500000	82009.1719	71907.1399	82153.1469
14550000	81116.8426	71996.9863	82023.7135
14600000	81745.1095	71451.5791	80858.8402
14650000	82353.2089	72537.0662	81661.6924
14700000	81843.5352	72338.5414	82975.3880
14750000	82920.2469	72414.8226	82197.3437
14800000	81372.8738	70827.1165	82121.7447
14850000	81744.0153	71283.8237	82183.0387
14900000	81699.8927	72171.1738	82432.4930
14950000	82236.9274	71635.9470	82137.4579
15000000	82315.9917	71322.6255	81938.9317
15050000	81611.1786	71320.8280	82734.0986
15100000	82121.3173	71393.9151	82057.5898
15150000	82230.4960	72341.3434	82001.4739
15200000	82269.9850	70548.6768	81532.3317
15250000	81879.4434	72137.0707	81829.8286
15300000	81775.7803	71960.6521	81138.7416
15350000	83060.8221	71861.8556	82136.1664
15400000	81242.9780	71729.2038	82493.4919
15450000	81112.0382	72196.7506	81894.8883
15500000	81270.5014	71946.6644	82412.4181
15550000	83526.7205	71610.9195	81858.5324
15600000	82267.0863	71665.8535	81811.2830
15650000	81184.0319	71387.4893	81362.7422
15700000	81606.5628	71971.4030	82201.5683
15750000	80861.7222	70911.9142	82403.8450
15800000	81835.3353	70674.7410	82314.9731
15850000	82232.4935	72309.8686	82645.9811
15900000	81936.9393	71522.7603	81873.2087
15950000	81518.7535	71514.7260	81392.1902
16000000	81860.6909	71710.4748	81973.2495
16050000	82119.1725	72226.1511	81195.2693
16100000	82088.4839	72251.5856	82778.5817
16150000	81936.6358	71904.5239	81694.6976
16200000	81583.2271	71923.0588	82277.9578
16250000	82389.5541	71071.4020	82147.1545
16300000	81759.9760	71610.2648	82237.2079
16350000	82126.3921	70937.9977	81394.6660
16400000	81919.4812	72097.9943	82620.7102
16450000	82021.2623	72127.2770	81507.8429
16500000	81068.2603	72168.7781	81311.2147
16550000	82152.1011	71721.2067	82009.8743
16600000	81348.8633	72069.3089	81486.5848
16650000	82565.8360	72178.5132	81517.3180
16700000	81798.5434	71308.7150	81371.3914
16750000	82345.7104	71444.8460	82249.8020
16800000	81900.7290	71729.0871	82124.3528
16850000	82117.6889	71623.4054	81753.7868
16900000	80691.5412	71556.8880	81926.1549
16950000	82678.0950	71671.8914	81825.5331
17000000	82149.1700	71012.8868	81399.2227
17050000	81704.1682	70829.7586	81562.9926
17100000	82210.8778	71479.6809	82144.2098
17150000	82079.3206	72101.9276	82209.1045
17200000	81715.1137	71599.7141	80997.6054
17250000	82736.4784	72312.6011	82366.6992
17300000	82988.6076	71173.9617	81720.9042
17350000	82255.5737	71118.0176	81946.7078
17400000	81532.3188	72017.0098	82021.3344
17450000	82002.3445	71327.6195	81717.3031
17500000	82082.9759	70964.5212	82170.2905
17550000	82460.1972	71911.4549	82065.7320
17600000	82224.9813	70974.3897	81135.1395
17650000	81767.7061	71336.4081	82155.3141
17700000	82126.0241	71731.9141	81416.8883
17750000	81691.2584	71472.3049	82449.0664
17800000	80836.8611	71074.8587	82212.0594
17850000	81999.2989	72751.9564	81476.9354
17900000	81953.6680	71756.7947	81113.5124
17950000	82694.8475	71795.0699	81643.6528
18000000	82946.6913	72401.8820	83232.5520
18050000	82385.3120	71348.7299	82314.3005
18100000	81623.6449	71032.8196	81442.7585
18150000	81750.9498	71416.0492	82411.7787
18200000	81216.5892	71817.1758	81375.5864
18250000	81986.0579	70993.0976	82170.9582
18300000	81951.6795	71841.1428	82072.5256
18350000	81799.9413	71480.2150	81830.9227
18400000	82859.7037	71722.5801	81561.4567
18450000	82282.4401	70504.4521	82145.3942
18500000	82060.4797	72548.8834	82337.5099
18550000	82291.9773	72187.3020	81955.3580
18600000	82366.0333	71935.4435	82505.9834
18650000	81806.0643	71469.7237	81426.3544
