TS EVdW(kcal/mol)
5000000 81160.4203
5050000 81492.2083
5100000 82414.4916
5150000 82886.3804
5200000 82033.9956
5250000 82024.0647
5300000 81502.9164
5350000 81029.8455
5400000 81636.8089
5450000 81576.3680
5500000 82732.3598
5550000 81152.3514
5600000 82651.8358
5650000 81789.7874
5700000 82335.4406
5750000 81674.3057
5800000 82542.0776
5850000 81561.3739
5900000 81571.6197
5950000 81802.4445
6000000 81834.2438
6050000 82697.6850
6100000 82322.3961
6150000 81978.2657
6200000 82815.6257
6250000 82556.1921
6300000 82022.7849
6350000 82067.0903
6400000 82383.3786
6450000 82146.3370
6500000 82047.5831
6550000 81290.1648
6600000 82128.8687
6650000 81049.0459
6700000 81397.1966
6750000 82224.7048
6800000 82545.3566
6850000 81528.6439
6900000 81709.8927
6950000 82332.9455
7000000 81803.3901
7050000 81242.1489
7100000 82104.8158
7150000 82455.5800
7200000 82182.9631
7250000 82149.1490
7300000 81771.0601
7350000 81083.1109
7400000 81275.7447
7450000 82217.7392
7500000 82234.4596
7550000 81800.6560
7600000 82188.2932
7650000 82567.1197
7700000 82190.8815
7750000 81872.3183
7800000 82464.3331
7850000 81222.5560
7900000 81515.0529
7950000 82206.3388
8000000 82599.2179
8050000 82252.6786
8100000 81504.0188
8150000 81807.6594
8200000 80793.4146
8250000 81643.7334
8300000 82650.1069
8350000 82583.2665
8400000 81825.4996
8450000 82340.0857
8500000 82597.8906
8550000 81489.5116
8600000 81900.1851
8650000 81675.6182
8700000 81712.4260
8750000 81982.0645
8800000 82974.0785
8850000 81228.1001
8900000 81969.6269
8950000 82652.6701
9000000 82401.1251
9050000 82500.8046
9100000 82407.8124
9150000 82260.0858
9200000 82440.8003
9250000 79869.1576
9300000 81480.6197
9350000 82001.0634
9400000 81315.2272
9450000 82115.0758
9500000 81935.3444
9550000 82563.5246
9600000 82700.4288
9650000 81599.4110
9700000 81854.3487
9750000 81580.9023
9800000 82257.9250
9850000 82090.4944
9900000 81639.3285
9950000 81431.7315
10000000 82339.6624
10050000 80721.2311
10100000 82046.7704
10150000 81874.7577
10200000 82063.2760
10250000 81359.4617
10300000 81028.9462
10350000 81760.1455
10400000 81247.1398
10450000 80703.8127
10500000 82169.6907
10550000 82852.9980
10600000 81982.0155
10650000 81689.9970
10700000 82205.1117
10750000 82339.6799
10800000 82432.9865
10850000 82733.8245
10900000 82078.5247
10950000 81956.3745
11000000 82524.6459
11050000 82239.2414
11100000 80819.9306
11150000 80857.6161
11200000 81542.5015
11250000 81175.9062
11300000 81694.7831
11350000 82189.2418
11400000 81929.9555
11450000 82249.0156
11500000 81455.6076
11550000 81524.0090
11600000 81941.9363
11650000 81133.8606
11700000 81990.5016
11750000 82261.6847
11800000 81826.1941
11850000 81949.3006
11900000 82165.8940
11950000 81250.0667
12000000 81884.4057
12050000 82211.0606
12100000 81782.3386
12150000 81669.0732
12200000 81129.7528
12250000 82097.6229
12300000 81327.2694
12350000 80094.9699
12400000 82301.6201
12450000 81410.9127
12500000 81474.8989
12550000 82231.5031
12600000 80847.4859
12650000 81901.7653
12700000 80969.4668
12750000 81456.6673
12800000 82659.6260
12850000 82219.8818
12900000 81238.2526
12950000 81318.5622
13000000 82058.3761
13050000 81793.7318
13100000 82502.8836
13150000 81525.3294
13200000 80712.1054
13250000 82960.4875
13300000 82325.2826
13350000 81681.7650
13400000 81669.4286
13450000 82811.1448
13500000 82246.4827
13550000 82054.5728
13600000 81354.5756
13650000 82263.2304
13700000 82497.5397
13750000 81255.1080
13800000 80815.6627
13850000 81944.5175
13900000 81893.6568
13950000 80978.8854
14000000 81070.2682
14050000 81751.2911
14100000 82177.5327
14150000 82939.0896
14200000 82755.8905
14250000 82214.8396
14300000 82023.7026
14350000 81683.7429
14400000 81592.9862
14450000 82155.7913
14500000 82153.1469
14550000 82023.7135
14600000 80858.8402
14650000 81661.6924
14700000 82975.3880
14750000 82197.3437
14800000 82121.7447
14850000 82183.0387
14900000 82432.4930
14950000 82137.4579
15000000 81938.9317
15050000 82734.0986
15100000 82057.5898
15150000 82001.4739
15200000 81532.3317
15250000 81829.8286
15300000 81138.7416
15350000 82136.1664
15400000 82493.4919
15450000 81894.8883
15500000 82412.4181
15550000 81858.5324
15600000 81811.2830
15650000 81362.7422
15700000 82201.5683
15750000 82403.8450
15800000 82314.9731
15850000 82645.9811
15900000 81873.2087
15950000 81392.1902
16000000 81973.2495
16050000 81195.2693
16100000 82778.5817
16150000 81694.6976
16200000 82277.9578
16250000 82147.1545
16300000 82237.2079
16350000 81394.6660
16400000 82620.7102
16450000 81507.8429
16500000 81311.2147
16550000 82009.8743
16600000 81486.5848
16650000 81517.3180
16700000 81371.3914
16750000 82249.8020
16800000 82124.3528
16850000 81753.7868
16900000 81926.1549
16950000 81825.5331
17000000 81399.2227
17050000 81562.9926
17100000 82144.2098
17150000 82209.1045
17200000 80997.6054
17250000 82366.6992
17300000 81720.9042
17350000 81946.7078
17400000 82021.3344
17450000 81717.3031
17500000 82170.2905
17550000 82065.7320
17600000 81135.1395
17650000 82155.3141
17700000 81416.8883
17750000 82449.0664
17800000 82212.0594
17850000 81476.9354
17900000 81113.5124
17950000 81643.6528
18000000 83232.5520
18050000 82314.3005
18100000 81442.7585
18150000 82411.7787
18200000 81375.5864
18250000 82170.9582
18300000 82072.5256
18350000 81830.9227
18400000 81561.4567
18450000 82145.3942
18500000 82337.5099
18550000 81955.3580
18600000 82505.9834
18650000 81426.3544
18700000 82514.6155
18750000 81783.1777
18800000 81877.0631
18850000 80959.1799
18900000 81903.1200
18950000 81742.3064
19000000 82028.9814
19050000 82070.7693
19100000 81862.1291
19150000 81263.4769
19200000 82143.9866
19250000 82349.3818
19300000 81165.6612
19350000 82399.6433
19400000 81208.7156
19450000 81902.9657
19500000 81043.2923
19550000 82672.2275
19600000 82285.1898
19650000 81564.1536
19700000 81535.7366
19750000 81607.1548
19800000 81917.5226
19850000 81827.8203
19900000 81073.1154
19950000 82345.9306
20000000 81392.8119
20050000 81668.3080
20100000 82327.3208
20150000 81817.6757
20200000 81892.5369
20250000 81197.7855
20300000 82727.8707
20350000 80451.1079
20400000 81764.9092
20450000 82624.8482
20500000 82340.5594
20550000 81846.5211
20600000 80882.1502
20650000 81899.8217
20700000 81603.4033
20750000 82455.4476
20800000 82233.1303
20850000 81648.8135
20900000 81890.3503
20950000 82268.9153
21000000 81085.1812
21050000 81969.2682
21100000 82671.7732
21150000 82282.8776
21200000 82138.5671
21250000 81329.4956
21300000 82390.2693
21350000 82231.5120
21400000 81295.8192
21450000 82023.5794
21500000 81252.4459
21550000 81150.7684
21600000 80861.3254
21650000 81621.7961
21700000 82250.5298
21750000 81506.8153
21800000 81964.1107
21850000 81341.4961
21900000 82371.5875
21950000 81832.3841
22000000 82462.7030
22050000 81518.8194
22100000 81681.7039
22150000 81953.0336
22200000 81041.9036
22250000 82075.1004
22300000 81671.8573
22350000 81685.4060
22400000 82334.5159
22450000 81812.1349
22500000 81299.1796
22550000 81780.5030
22600000 81319.5111
22650000 82101.7594
22700000 81620.3335
22750000 82094.4256
22800000 83331.0298
22850000 81991.3369
22900000 82716.8899
22950000 81490.6446
23000000 82417.1731
23050000 81951.4687
23100000 81201.6799
23150000 80930.2435
23200000 82267.5290
23250000 81901.4387
23300000 82642.5138
23350000 81953.0526
23400000 80825.7459
23450000 82224.9231
23500000 82202.4986
23550000 81199.3114
23600000 82160.9070
23650000 82518.8829
23700000 81785.4439
23750000 81484.7597
23800000 82959.6068
23850000 82362.2749
23900000 80835.7073
23950000 82191.0922
24000000 81967.6276
24050000 82565.0018
24100000 82564.3827
24150000 81999.6998
24200000 81666.8180
24250000 82240.4851
24300000 82388.8810
24350000 81679.9600
24400000 82362.4328
24450000 81997.3579
24500000 82491.2337
24550000 81946.2359
24600000 81839.4593
24650000 81973.2707
24700000 81621.1189
24750000 80970.1067
24800000 81827.0926
24850000 82177.2585
24900000 81619.6440
24950000 81411.9725
25000000 81556.8512
25050000 81462.9268
25100000 83220.2802
25150000 82283.5257
25200000 81036.9986
25250000 81060.7697
25300000 81681.5152
25350000 81405.0562
25400000 81754.3214
25450000 81516.0317
25500000 82640.3688
25550000 82459.9599
25600000 81945.3339
25650000 82142.4422
25700000 81436.1694
25750000 82317.3893
25800000 82006.9039
25850000 82091.7545
25900000 82007.2376
25950000 82608.9256
26000000 82012.5675
26050000 80992.2819
26100000 81094.3231
26150000 82340.5168
