TS EVdW(kcal/mol)
17750000 71472.3049
17800000 71074.8587
17850000 72751.9564
17900000 71756.7947
17950000 71795.0699
18000000 72401.8820
18050000 71348.7299
18100000 71032.8196
18150000 71416.0492
18200000 71817.1758
18250000 70993.0976
18300000 71841.1428
18350000 71480.2150
18400000 71722.5801
18450000 70504.4521
18500000 72548.8834
18550000 72187.3020
18600000 71935.4435
18650000 71469.7237
18700000 71796.2012
18750000 71651.9864
18800000 72588.0798
18850000 71540.4611
18900000 71714.8158
18950000 71668.2613
19000000 71847.5487
19050000 71248.5606
19100000 71574.2028
19150000 71871.3687
19200000 71494.9297
19250000 71696.0852
19300000 71722.5693
19350000 72037.3113
19400000 71804.6513
19450000 71826.4694
19500000 71027.8200
19550000 71886.2982
19600000 72083.5336
19650000 71428.0767
19700000 71759.6802
19750000 71272.8595
19800000 72053.4953
19850000 71013.9390
19900000 71913.7103
19950000 71782.2893
20000000 71251.5829
20050000 72299.7974
20100000 70912.7926
20150000 71786.9957
20200000 71911.7057
20250000 71735.4936
20300000 72275.5037
20350000 71090.2219
20400000 71634.5891
20450000 72415.7387
20500000 71725.5962
20550000 71503.9353
20600000 70620.4165
20650000 71316.3744
20700000 70743.7375
20750000 71881.2793
20800000 71676.4715
20850000 72446.0081
20900000 71471.3002
20950000 72488.8275
21000000 72071.6025
21050000 71915.7718
21100000 72163.5943
21150000 72094.3918
21200000 71850.3954
21250000 71521.3562
21300000 72027.4877
21350000 71119.9016
21400000 72495.3693
21450000 71938.7543
21500000 71985.4323
21550000 72329.6231
21600000 71457.2608
21650000 71380.6568
21700000 71362.5517
21750000 71746.7077
21800000 71196.8563
21850000 71281.8550
21900000 72081.5288
21950000 71742.3404
22000000 71728.0876
22050000 71156.0617
22100000 71587.2374
22150000 71204.8862
22200000 71598.9057
22250000 71406.1400
22300000 71450.8359
22350000 71547.4235
22400000 71547.0338
22450000 71593.9251
22500000 70799.5401
22550000 71378.3667
22600000 71519.2462
22650000 71087.9619
22700000 71562.0427
22750000 71364.8543
22800000 71166.0823
22850000 72136.1230
22900000 71907.4484
22950000 71323.0184
23000000 72457.5341
23050000 71403.8155
23100000 71022.2438
23150000 72257.4522
23200000 72323.6267
23250000 72042.8272
23300000 70894.6471
23350000 72068.0462
23400000 71061.7963
23450000 72514.3167
23500000 71381.9064
23550000 72357.1319
23600000 71649.7821
23650000 71065.9239
23700000 71134.4108
23750000 71872.5400
23800000 70568.7736
23850000 72579.6662
23900000 71879.8992
23950000 71997.9929
24000000 72287.3120
24050000 71838.9608
24100000 71625.3335
24150000 71632.3223
24200000 72506.9826
24250000 71809.8455
24300000 71564.3178
24350000 71127.6969
24400000 72410.1099
24450000 70968.9839
24500000 71945.0539
24550000 72057.9544
24600000 71583.8970
24650000 71527.2971
24700000 72041.5748
24750000 71312.7934
24800000 72326.1129
24850000 71906.7319
24900000 72221.0167
24950000 71855.0643
25000000 72141.5049
25050000 71142.5292
25100000 71307.8162
25150000 71979.7867
25200000 71989.2634
25250000 72139.0068
25300000 70422.4373
25350000 71494.8825
25400000 71884.2680
25450000 71264.8210
25500000 71534.1079
25550000 71034.1854
25600000 71441.6398
25650000 70623.6434
25700000 71241.4920
25750000 72934.6697
25800000 71595.3269
25850000 71278.0557
25900000 71436.2096
25950000 71844.2414
26000000 70905.8412
26050000 71151.1915
26100000 72027.7559
26150000 71226.6340
26200000 72003.8465
26250000 71223.6472
26300000 71234.5490
26350000 71936.0685
26400000 70829.5193
26450000 71742.3438
26500000 71258.8683
26550000 71869.1616
26600000 71433.0807
26650000 71241.6856
26700000 71738.8869
26750000 71299.1221
26800000 71699.0193
26850000 70953.1674
26900000 72540.7744
26950000 71503.9325
27000000 72521.1881
27050000 70896.8736
27100000 71988.1153
27150000 72291.0176
27200000 71879.4987
27250000 71683.0949
27300000 71947.5436
27350000 70572.8972
27400000 70860.3837
27450000 72382.5789
27500000 71149.4321
27550000 71615.0543
27600000 71907.7240
27650000 72252.0729
27700000 71650.5949
27750000 71293.4650
27800000 71401.1796
27850000 71270.8349
27900000 71738.1480
27950000 72291.4352
28000000 72771.6034
28050000 71284.7425
28100000 72519.2441
28150000 72091.9992
28200000 70725.9138
28250000 71142.0237
28300000 72244.4359
28350000 70999.6896
28400000 71962.1711
28450000 71598.4475
28500000 71714.3354
28550000 71708.8012
28600000 72131.8135
28650000 71364.2987
28700000 71790.7900
28750000 70977.8367
28800000 71631.8705
28850000 71313.3678
28900000 72135.4061
28950000 73083.8772
29000000 71200.6851
29050000 70907.3390
29100000 72580.0481
29150000 71732.8625
29200000 70888.8775
29250000 71285.0571
29300000 70766.0923
29350000 72020.8124
29400000 71258.6105
29450000 71337.3588
29500000 70772.1780
29550000 71713.0286
29600000 71639.4804
29650000 71910.4321
29700000 71824.4305
29750000 71623.0096
29800000 71077.6026
29850000 71891.0123
29900000 71577.5418
29950000 71266.2552
30000000 70974.6707
30050000 71818.2584
30100000 72187.4642
30150000 71591.2653
30200000 71768.5626
30250000 71446.2198
30300000 71862.6900
30350000 71033.9794
30400000 71750.4663
30450000 70924.9081
30500000 70986.1220
30550000 72054.0487
30600000 71813.1617
30650000 71638.6790
30700000 71919.9870
30750000 71566.5250
30800000 71595.9961
30850000 70734.7424
30900000 71967.7147
30950000 71200.5229
31000000 70819.7940
31050000 71717.4554
31100000 71707.0799
31150000 71000.1594
31200000 71085.8439
31250000 72058.9908
31300000 72529.1244
31350000 71307.2204
31400000 70744.1529
31450000 72162.3999
31500000 71622.6071
31550000 72119.2292
31600000 71601.1641
31650000 71683.4499
31700000 71325.6171
31750000 70871.4525
31800000 71688.1688
31850000 71311.6011
31900000 71864.2563
31950000 71126.6229
32000000 70897.9610
32050000 71173.5524
32100000 71069.6939
32150000 71101.5763
32200000 71545.3569
32250000 71546.6089
32300000 70835.3603
32350000 71907.2307
32400000 72080.8824
32450000 71032.0493
32500000 71346.3056
32550000 71440.1494
32600000 71347.9074
32650000 71702.4836
32700000 71107.9473
32750000 71291.2085
32800000 71890.8898
32850000 70617.2021
32900000 71306.3273
32950000 70886.3708
33000000 71387.6966
33050000 72071.5823
33100000 71763.7715
33150000 71732.4644
33200000 71918.1703
33250000 70770.0866
33300000 70923.4715
33350000 71246.8299
33400000 70550.1906
33450000 70938.3790
33500000 72198.1135
33550000 72335.4193
33600000 71632.3418
33650000 71504.3630
33700000 70482.4627
33750000 70845.1915
33800000 71676.9936
33850000 71774.7376
33900000 71153.9749
33950000 71549.4466
34000000 70839.1784
34050000 72222.3944
34100000 71664.9429
34150000 71955.9556
34200000 71218.5352
34250000 71388.8908
34300000 72101.5303
34350000 71795.6124
34400000 71560.0792
34450000 71190.7027
34500000 71546.8788
34550000 71344.2493
34600000 72958.1287
34650000 71496.6065
34700000 71154.8157
34750000 71553.7688
34800000 71630.0047
34850000 71533.7836
34900000 72204.9046
34950000 72153.9440
35000000 71659.8850
35050000 71246.1411
35100000 71304.4984
35150000 71230.8164
35200000 72272.8511
35250000 71542.9148
35300000 70978.2010
35350000 71516.7638
35400000 71302.2078
35450000 72057.3891
35500000 71869.9045
35550000 71954.6232
35600000 72544.6688
35650000 71722.4072
35700000 72084.5569
35750000 71649.5217
35800000 71200.0219
35850000 71660.5264
35900000 71262.4860
35950000 70762.7422
36000000 70879.6467
36050000 70641.9344
36100000 71718.3787
36150000 72471.0844
36200000 70697.8772
36250000 72305.9095
36300000 71320.8661
36350000 71551.1278
36400000 72458.2204
36450000 70802.9995
36500000 71798.0784
36550000 71755.0389
36600000 72827.0822
36650000 71468.0092
36700000 71936.0551
36750000 72096.3498
36800000 71410.4091
36850000 71973.0592
36900000 72869.5534
36950000 71354.0029
37000000 72460.5811
37050000 70572.7131
37100000 71543.7561
37150000 71084.0180
37200000 70648.2357
37250000 71517.4904
37300000 71564.7860
37350000 71903.9030
37400000 71836.8863
37450000 71064.3591
37500000 70906.8951
37550000 72260.7523
37600000 72446.8595
37650000 71797.0113
37700000 71326.0435
37750000 71556.4811
37800000 70994.4773
37850000 71155.8697
37900000 71076.3491
37950000 71787.9447
38000000 72098.4039
38050000 71838.2596
38100000 72009.0888
38150000 72330.4294
38200000 71057.6258
38250000 71392.7149
38300000 71782.2300
38350000 71076.3758
38400000 72956.4589
38450000 72162.6378
