TS	2_bonds	no_bonds	303_350
7600000	-1347751.3327	-1236262.9198	-1344170.8478
7650000	-1347997.9373	-1237551.3575	-1344885.3231
7700000	-1346321.8962	-1234821.9516	-1344008.3080
7750000	-1348804.6682	-1236615.1593	-1344824.2784
7800000	-1346792.2044	-1236997.9150	-1344579.1526
7850000	-1345868.7254	-1237668.3865	-1343186.9570
7900000	-1345427.9879	-1236878.0299	-1343546.7210
7950000	-1347094.6147	-1237105.8698	-1344970.8511
8000000	-1347591.7591	-1235629.9068	-1345492.1920
8050000	-1348512.3180	-1236295.3327	-1345436.5519
8100000	-1345679.0575	-1235386.2283	-1343378.5542
8150000	-1348485.8187	-1237831.8942	-1344159.6882
8200000	-1346947.5986	-1235715.7799	-1343330.0288
8250000	-1347583.7829	-1236862.9112	-1343990.3692
8300000	-1346810.8601	-1234952.5340	-1345725.3419
8350000	-1346072.0284	-1236815.0752	-1345860.7746
8400000	-1348359.7199	-1236276.1612	-1343910.6951
8450000	-1348133.8867	-1236587.2882	-1345636.2256
8500000	-1346836.2537	-1237522.0956	-1344712.6133
8550000	-1348029.2448	-1236806.1352	-1344856.8870
8600000	-1346586.9965	-1236928.7063	-1344868.0827
8650000	-1348589.7016	-1236458.8219	-1344119.5011
8700000	-1346379.0596	-1236571.0815	-1344407.4513
8750000	-1348139.7254	-1236070.7970	-1345254.2943
8800000	-1346871.2488	-1236911.2439	-1345656.1286
8850000	-1348023.8332	-1236705.7639	-1344420.1468
8900000	-1347345.1215	-1237304.4636	-1344592.8858
8950000	-1346635.3289	-1236496.1112	-1345241.5924
9000000	-1347332.1879	-1237281.6539	-1345257.4807
9050000	-1347816.6886	-1237397.8332	-1345503.5065
9100000	-1347491.7891	-1235927.6706	-1344112.5410
9150000	-1347029.5471	-1237109.5575	-1345557.2699
9200000	-1347057.3900	-1237088.5598	-1346072.2299
9250000	-1346699.9000	-1235100.2977	-1341193.5634
9300000	-1347408.1816	-1236717.0897	-1343940.0086
